"filename", "language", "Database", "Markdown", "Python", "pip requirements", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\app.py", "Python", 0, 0, 339, 0, 0, 0, 3, 152, 494
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\gym.db", "Database", 94, 0, 0, 0, 0, 0, 0, 1, 95
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\helpers.py", "Python", 0, 0, 21, 0, 0, 0, 0, 9, 30
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\requirements.txt", "pip requirements", 0, 0, 0, 23, 0, 0, 0, 0, 23
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\static\styles.css", "CSS", 0, 0, 0, 0, 0, 112, 13, 24, 149
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\history.html", "HTML", 0, 0, 0, 0, 61, 0, 0, 11, 72
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\index.html", "HTML", 0, 0, 0, 0, 59, 0, 2, 12, 73
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\layout.html", "HTML", 0, 0, 0, 0, 65, 0, 2, 20, 87
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\login.html", "HTML", 0, 0, 0, 0, 44, 0, 0, 13, 57
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\profile.html", "HTML", 0, 0, 0, 0, 57, 0, 0, 7, 64
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\register.html", "HTML", 0, 0, 0, 0, 101, 0, 3, 29, 133
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\view_workout.html", "HTML", 0, 0, 0, 0, 31, 0, 0, 4, 35
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\workout.html", "HTML", 0, 0, 0, 0, 262, 0, 0, 54, 316
"Total", "-", 94, 1, 360, 23, 680, 112, 23, 336, 1629
