"filename", "language", "Database", "Python", "HTML", "CSS", "Markdown", "pip requirements", "comment", "blank", "total"
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\app.py", "Python", 0, 395, 0, 0, 0, 0, 1, 184, 580
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\gym.db", "Database", 90, 0, 0, 0, 0, 0, 0, 1, 91
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\helpers.py", "Python", 0, 110, 0, 0, 0, 0, 0, 36, 146
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 25, 0, 0, 25
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\static\styles.css", "CSS", 0, 0, 0, 134, 0, 0, 0, 43, 177
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\browse_profiles.html", "HTML", 0, 0, 44, 0, 0, 0, 0, 14, 58
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\history.html", "HTML", 0, 0, 61, 0, 0, 0, 0, 11, 72
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\index.html", "HTML", 0, 0, 126, 0, 0, 0, 2, 17, 145
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\layout.html", "HTML", 0, 0, 64, 0, 0, 0, 2, 21, 87
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\login.html", "HTML", 0, 0, 48, 0, 0, 0, 0, 15, 63
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\other_profiles.html", "HTML", 0, 0, 49, 0, 0, 0, 4, 8, 61
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\profile.html", "HTML", 0, 0, 82, 0, 0, 0, 0, 13, 95
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\register.html", "HTML", 0, 0, 97, 0, 0, 0, 1, 27, 125
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\view_workout.html", "HTML", 0, 0, 31, 0, 0, 0, 0, 4, 35
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\workout.html", "HTML", 0, 0, 261, 0, 0, 0, 0, 55, 316
"Total", "-", 90, 505, 863, 134, 1, 25, 10, 449, 2077
