"filename", "language", "Python", "Database", "HTML", "comment", "blank", "total"
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\app.py", "Python", 90, 0, 0, 0, 40, 130
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\gym.db", "Database", 0, 6, 0, 0, 0, 6
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\helpers.py", "Python", 4, 0, 0, 0, 2, 6
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\admin.html", "HTML", 0, 0, 30, 0, 11, 41
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\admin_add_workout.html", "HTML", 0, 0, 79, 0, 14, 93
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\admin_edit_exercise.html", "HTML", 0, 0, 51, 0, 16, 67
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\admin_edit_gyms.html", "HTML", 0, 0, 24, 0, 13, 37
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\admin_view_gyms.html", "HTML", 0, 0, 67, 0, 17, 84
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\index.html", "HTML", 0, 0, 2, 0, 0, 2
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\layout.html", "HTML", 0, 0, 3, 0, 0, 3
"Total", "-", 94, 6, 256, 0, 113, 469
