"filename", "language", "Python", "Database", "HTML", "Markdown", "pip requirements", "CSS", "comment", "blank", "total"
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\app.py", "Python", 485, 0, 0, 0, 0, 0, 1, 224, 710
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\gym.db", "Database", 0, 96, 0, 0, 0, 0, 0, 1, 97
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\helpers.py", "Python", 114, 0, 0, 0, 0, 0, 0, 38, 152
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\requirements.txt", "pip requirements", 0, 0, 0, 0, 25, 0, 0, 0, 25
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\static\styles.css", "CSS", 0, 0, 0, 0, 0, 134, 0, 43, 177
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\admin.html", "HTML", 0, 0, 30, 0, 0, 0, 0, 11, 41
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\admin_add_workout.html", "HTML", 0, 0, 79, 0, 0, 0, 0, 14, 93
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\admin_edit_exercise.html", "HTML", 0, 0, 51, 0, 0, 0, 0, 16, 67
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\admin_edit_gyms.html", "HTML", 0, 0, 24, 0, 0, 0, 0, 13, 37
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\admin_view_gyms.html", "HTML", 0, 0, 67, 0, 0, 0, 0, 17, 84
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\browse_profiles.html", "HTML", 0, 0, 44, 0, 0, 0, 0, 14, 58
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\history.html", "HTML", 0, 0, 61, 0, 0, 0, 0, 11, 72
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\index.html", "HTML", 0, 0, 128, 0, 0, 0, 2, 17, 147
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\layout.html", "HTML", 0, 0, 67, 0, 0, 0, 2, 21, 90
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\login.html", "HTML", 0, 0, 48, 0, 0, 0, 0, 15, 63
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\other_profiles.html", "HTML", 0, 0, 49, 0, 0, 0, 4, 8, 61
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\profile.html", "HTML", 0, 0, 82, 0, 0, 0, 0, 13, 95
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\register.html", "HTML", 0, 0, 97, 0, 0, 0, 1, 27, 125
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\view_workout.html", "HTML", 0, 0, 31, 0, 0, 0, 0, 4, 35
"c:\Users\James.Warriner\Documents\GitHub\Gym-Pulse\templates\workout.html", "HTML", 0, 0, 261, 0, 0, 0, 0, 55, 316
"Total", "-", 599, 96, 1119, 1, 25, 134, 10, 562, 2546
